category,year,rating,vader_compound,token_len,review_text,mismatch_type
Beauty,2019,5.0,-0.5466,106,It really works!. I wish I had taken a before and after photo of my nails. I made the awful mistake of getting acrylic nails and after I took them off my nails were so feathered and thin that it hurt to use them to open anything. I had read someone else's review saying to only put one layer on and not to use it every day - I've followed that advice (re-applied every 3 days) and after only a week my nails are so much thicker and stronger. I'm going to have my mom start using this product because nothing has worked for her yet.,high_star_low_vader
Beauty,2017,5.0,-0.6031,57,"The Best Thing for Chapped Lips. Burt's Bees is the CURE for chapped lips. I'll never go back to anything else and I've no care to. I use this once or twice, the annoying irritation goes away. Compare that with other brands where you have to keep smearing the ineffective stuff all over time and time again.",high_star_low_vader
Beauty,2017,4.0,-0.8671,60,"Good Product - Faulty Pump. I like the product but I don't understand why the pump came separate. I was having a difficult time trying to open the pump to work and broke one in the process. I don't understand, why u do diz? I got a big scratch on my arm from trying to just open the damn pumper!",high_star_low_vader
Beauty,2023,5.0,-0.5704,54,I use it everyday. I use this hair towel every time I wash my hair. It's soft and absorbent but I I haven't left it on my hair long enough to know whether my hair will dry quickly in the towel or not. I have very thick hair so I kind of doubt it.,high_star_low_vader
Beauty,2018,5.0,-0.5216,14,Goes on light and not waxy. Best eye cream out there for the price,high_star_low_vader
Beauty,2022,5.0,-0.5196,54,Cute but the finger and thumb do not link up like that. The thumb is painted the wrong way.. Very cute. But the thumb and finger do not line up like that the thumb is painted wrong to line up like that. And it doesn't fit right if flipped to line up like pictured.,high_star_low_vader
Beauty,2019,5.0,-0.8322,56,"Will buy again. I really like this product. I have a 13 year old that hates product in his hair, but this holds but is still playable. So he can keep it out of his eyes but it won't be stiff. The only downside is the scent. Not great, but not unpleasant either. I've smelled worse.",high_star_low_vader
Beauty,2023,5.0,-0.7147,39,HORRIBLE. I'm giving this 5 stars because I know they won't show my review if it's 1. Honestly the WORST closure I have ever purchased after two weeks of wearing the hair started coming out the closure in chunks!,high_star_low_vader
Beauty,2020,5.0,-0.5216,5,Nothing. I love the scent,high_star_low_vader
Beauty,2019,4.0,-0.5486,17,"nice color, but doesn't last. great color, but it washes out too quickly compared to other brands",high_star_low_vader
Beauty,2020,5.0,-0.896,33,"Very disappointed ☹️. They changed ingredients. I used to love this deodorant. Now it sucks!!!! It's not creamy anymore, actually very rough!!! Doesn't glide. Extremely gritty and no beautiful rose scent. Very disappointed.",high_star_low_vader
Beauty,2021,5.0,-0.5106,55,"If you have damaged hair this is product for you. When I say this stuff saved my hair when I tried it after lightning is an understatement. So enriching, so fast working, and all in all a phenomenal product. If you have any type of damage to your hair incorporate this into your routine now",high_star_low_vader
Beauty,2016,4.0,-0.7076,81,"No more green. My sister in law (a hair stylist) recommended me buying & using this product to get rid of the green that was showing up in my hair. For months I didn't buy this product because I didn't like the price at the stores. Came across the shampoo & conditioner while shopping for other things & I have to say, I should have bought this when I was told. It works!!! I no longer have that chlorine green hair!",high_star_low_vader
Beauty,2021,4.0,-0.7049,18,Good colors. The colors are ok and heavy but bottles are not good Its close are very weak,high_star_low_vader
Beauty,2021,5.0,-0.5409,12,Good but not for long. Great eye liner but doesnt stay long,high_star_low_vader
Beauty,2015,5.0,-0.68,8,Five Stars. The dead skin rolls right off!,high_star_low_vader
Beauty,2019,5.0,-0.8012,57,It Works. I got this balm in a subscription box and almost gave it away. I used it for a rash I developed from underwire bras. One application and the rash was no longer itchy or inflamed. I would not have given this a second glance based on the price. I will be buying more when needed,high_star_low_vader
Beauty,2023,4.0,-0.518,21,Smells and has a silky feeling…... Product smells really good but it came with a broken pump! Hence the 4 stars.,high_star_low_vader
Beauty,2015,5.0,-0.7311,53,I have learned that essential oils will make the bad chemicals leach out of the plastic into the deodorant. Wish they weren't plastic. But I can make deodorant with probiotics instead of essential oils. I have learned that essential oils will make the bad chemicals leach out of the plastic into the deodorant.,high_star_low_vader
Beauty,2016,4.0,-0.6308,175,"Pure perfection has become a bit rough but still my go-to.. I was on a 2-month trip in Europe back in 2006 when I made a very rare visit to a barber to shave my head and he had this trimmer. I bought one off him and have had 3 since then. I haven't found anything better as far as power, speed, sharpness, closeness of blade, portability, size, etc. One star off is only because in my most recent purchase, the blade hasn't been as smooth and I've had cuts or skin irritation. I actually had to send it back and the new one is only marginally better. Previously it was just as smooth as can be. Also, the challenge has always been getting parts / blades at a reasonable price since I don't believe a north american version exists. Still my go-to trimmer. Keep it oiled. You'll need a small outlet adaptor to charge it in the US. (not a voltage converter, just the cheap outlet adaptor that converts European outlets to US outlets)",high_star_low_vader
Beauty,2018,5.0,-0.5526,2,Obsessed. Obsessed!!!!!!!,high_star_low_vader
Beauty,2021,5.0,-0.6939,180,"Immediate results on nasty cut. I received this order of Bactine MAX about a week after I received a very nasty, ragged, cut across my shin. The cut was made by a wire that I tripped over. The cut was deep, long, ragged and wide. The kind of cut that's guaranteed to leave a nasty scar. The first day I used the Bactine MAX I could feel the area starting to relax a bit. Before the skin area had been tight and itched something fierce. I've been using the Bactine 2-3 times a day for the past two weeks. The wound is healing very nicely and I actually doubt that they're be much, if any, scar. When using the product I only used a small dab and spread it around the entire wound area. Even after two weeks use I doubt that I've used more than 1/6th of the tube. I couldn't be more pleased. The product is slightly opaque but becomes clear after applying. It's slightly thicker than a normal aloe vera lotion. No detectable odor. Highly, highly recommend.",high_star_low_vader
Beauty,2019,4.0,-0.5199,51,Works very well.. This lotion works very well on dry skin. The one star drop on the rating is because of the odor. For legs and lower body fine. But for your hands or face the aroma is very off putting. Does not last a long time but it is irritating.,high_star_low_vader
Beauty,2015,5.0,-0.5106,9,"Five Stars. Its ugly, cheap, and does the job.",high_star_low_vader
Beauty,2016,5.0,-0.555,8,Five Stars. stopped itchy scalp after one use!!,high_star_low_vader
Beauty,2015,5.0,-0.5139,143,"Love it!. My hair is loose curls/waves, not a tight curl. Summer humidity makes my waves go flat. Using hair spray or mouse was not holding the curl. It was hopeless. Until I gave this a try. It has the feeling of a conditioner, not sticky like a gel, and doesn't create crunch like a gel or spray. But it defines and keeps the curl curly. I shampoo and condition (any brand it doesn't matter), then put a quarter size dollop in shoulder-length, damp hair. It has a LIGHT orange scent that I can't even smell once my hair is dry. The only problem with it is, it's a squeeze bottle with a huge opening, and too much product squeezes out for the amount of hair I have. I put about half the product back in the bottle every time I use it.",high_star_low_vader
Beauty,2022,5.0,-0.6218,56,Made my skin feel soft and moisturized!. I couldn't wait to try this lotion so I tried it as soon as I got it. It has a very light scent and absorbs quickly into your skin with no greasy feeling. I have tried a name brand product similar but not as nice as this one is.,high_star_low_vader
Beauty,2020,4.0,-0.5267,17,Product unsealed. Product has no tamper proof seal. No way to know it is the right product.,high_star_low_vader
Beauty,2020,5.0,-0.8967,203,"Stupid Crystal.. I'm the last person to use a crystal for anything. Typically if someone said they use a rock for deodorant i'd dismiss them outright as a new-age, tree-hugging hippy fool. I'm very cynical. And probably angry and bitter. But that's neither here nor there. In a wild turn of fate I started dating one of these aforementioned new-age, tree-hugging, hippy fooIs. I stayed over one night and then the next morning, all i had was a crystal. Well, the rock stuck around a lot longer than she, and the same thai crystal must've lasted me over a year until i dropped it on some tile and shattered it. I still tried to use it but it was like rubbing a cheese grater into my arm pit. Lazily i bought whatever smelled decent at whole foods. Unfortunately, while the products -several of them- smelled good i ceased using them in short order. A lot of those tend to be baking soda based and my skin reacts poorly and angrily to them. Pure garbage the lot of them. I switched back to the thai crystal ( oddly, i've been to thailand and didn't see nary a one for sale) and never looked back.",high_star_low_vader
Beauty,2020,5.0,-0.7163,44,Buy this product!. No other chapstick will ever compare to how quickly this will heal your lips! I've been using it for years and started using it when I was taking accutane. I could not get through the harsh Midwest winters without this chapstick!,high_star_low_vader
Beauty,2017,5.0,-0.7312,12,"No Stain!. Love this product. Particularly, the no-stain! Others turn shirts yellow.",high_star_low_vader
Beauty,2023,5.0,-0.6608,59,Still the same. My uncle has been using the cologne since the 70s when it first came out. Even though it's made by Dana and in a different bottle now it still smells the same. Keep the box it came in. The new bottle is not blacked out like the old letting light in. This is my only disappointment.,high_star_low_vader
Beauty,2016,5.0,-0.7496,108,"purging SUCKS. I have a love hate relationship with this toner On one hand, I've never had this clear of skin On the other hand, the purging process is BRUTAL I specifically have a lot of whiteheads on my checks, and blackheads in my T-zone. My whiteheads have been purging since I've been using this stuff which means that they've come to head and then go away once they're done healing, but it all happens in clusters. Which sucks. It has lightened my blackheads, and often I can feel gunk coming out of my pores when I apply my serums after this stuff. Not fun, but it's working.",high_star_low_vader
Beauty,2015,5.0,-0.5778,83,"Excellent product!. Tightens and tones my skin. I apply it in the morning and in the evening. Sometimes, I even use it on top of makeup foundation just to freshen up my skin. Has an unpleasant, slight acidic scent, but soon dissipates after a minute or so. I used this constantly when we went on a cruise to Mexico. I had four days of sun and didn't put foundation on --- just this serum. My skin glowed and the serum prevented sun damage.",high_star_low_vader
Beauty,2019,5.0,-0.5575,26,FAKE. Not real Shungite just painted flat stones! And they are giving off large amounts of EMF! Buyer Beware!!! It's only REAL if it's from -summer-,high_star_low_vader
Beauty,2020,5.0,-0.7553,99,"Just what I needed!. When quarantine happened, I was stranded with nails that needed to be done but nowhere to go to do them. I quickly (read: slowly) learned how to do my own nails with dip powder since they are WEAK!!! and also chip very easily. But alas, I had very crappy old nails files that quickly (read: very quickly) got chewed up by my new nail regimen. Enter these nail files and buffers. Not only do they do the job, they do it well!! My nails are looking way better than in the beginning of this ""pause"".",high_star_low_vader
Beauty,2019,1.0,0.6711,31,"Does not work great for ear hairs. I used this product on my earlobes and nose hairs.. Overall, I did not think it works that great. Multiple treatments to achieve success.",low_star_high_vader
Beauty,2020,1.0,0.908,51,Can't open no instructions!!! WTW???. Unable to open and no instructions. Finally after spending forever texting Amazon customer service received a code to open the combination. Purchased as a gift and I'm sure it's not going to be worth the hassle to use it. Save your money and buy something else!!!,low_star_high_vader
Beauty,2020,1.0,0.8328,47,"NOT waterproof, false advertising.. Update, it is NOT waterproof, false advertising at its best. Lasted less than a minute in the shower. Not surprised, and it is being returned. So far so good. Uncertain if it is waterproof, product listing says yes, the included instructions say no.",low_star_high_vader
Beauty,2023,2.0,0.5574,13,Different from original manufacturer. Quality is different from I bought the original manufacture,low_star_high_vader
Beauty,2016,1.0,0.7906,141,"Erickson ponytail holders in the past and I've loved them - which is why I came back for .... I have bought other L. Erickson ponytail holders in the past and I've loved them - which is why I came back for more. Before I had the black, silver and black/silver holders. This time I opted for the beige. But the ponytail holders are a tad smaller than the other Erickson ones I've had in the past and they SMELL terribly. They smell like very strong incense - almost a patchouli scent. I've washed them and air-dried them for several days and they still smell just as strong. These should not smell at all, so I am very disappointed. The seller is France Luxe - which I have purchased from before - but this time they have a very smelly product.",low_star_high_vader
Beauty,2020,1.0,0.5179,99,"Broke after a few uses. Purchased this blower in February, received it in March and stopped working in July after just a few uses. I do NOT recommend this product. I was originally inclined to buy the Conair brand but felt because this one was a bit pricier and Revlon is a reputable brand that it would last longer, but I was wrong. To make matters worse, I couldn't even get a refund and Amazon offered a $5 gift card- I assume that was the pro-rated amount of the original cost. LOL Save yourself the trouble buy another brand.",low_star_high_vader
Beauty,2016,1.0,0.6794,37,"The linen side is more like cardboard. Not what is described. Cheap leather, made in china as per the sticker that came attached to the strop. The linen side is more like cardboard. Not what is described.",low_star_high_vader
Beauty,2023,2.0,0.6882,71,"Don't get it ... Listen, i rarely leave reviews but please listen to me... I was drawn to these lashes because it is nice and full, however after using it for a week I noticed shedding. The band is kind of thick which made it uncomfortable for my eyes. Sizes 16-18 is beautiful, but I noticed the smaller size's curl pattern changes (an obnoxious curl). Long story short- don't get it.",low_star_high_vader
Beauty,2016,1.0,0.968,261,"Consistency. Me, personally, I did not like the way this product felt on my face. When I first got the bottle I was disappointed that I got the small bottle. It's quite expensive for the size but after trying it, I'm so glad I got it. I bought this specifically as a face moisturizer. Once you put it on it just feels like you have a thick layer of gunk on your face. Its way too thick and it doesn't sink into your skin. It just sits there on the surface. It is similar to the Cetaphil Moisturizing face/body lotion. It didn't work for me. I hated the way it felt. (this is all without any makeup on) In an effort to use the remaining product I have, I mixed it with my foundation. Didn't really like it either but I don't want to waste what I purchased. So I'm trying to find some purpose for it. Overall I'm pretty disappointed. I've been on a search for a good face moisturizer and there were so many great reviews on pinterest, youtube, etc on this. I tend to lead towards french products, I love the La Roshe Posay sunscreen for example, and I thought this was the solution. Didn't work out for me but at least I know I tried. On the plus side, I have sensitive skin and this did NOT break me out! If you have sensistive skin out there, acne prone, and dry.... maybe you should try it out. It might work for you if consistency isn't an issue.",low_star_high_vader
Beauty,2021,2.0,0.5603,40,"Not terrible, but not good!. Container arrived covered in a sticky substance and had areas on the sides where stickers were clearly ripped off. The smell is not a bad scent, but I'd doesn't smell like Cotton Candy to me.",low_star_high_vader
Beauty,2023,2.0,0.9603,145,"Not worth $20 for two tiny bars. In full disclosure I did not use this product, but started my return immediately. Both bars arrived packaged in one box, that I thought was a box of just either the shampoo or the conditioner, but given the Tiny size of these bars, it fit both. They were also completely smashed and in pieces, but I suppose that is shipping, not the manufacturer. I could only laugh when I opened the box and saw the size of these bars. Even in pieces I could piece them together to see their original size- they look closer to the size of complimentary hand soap sizes than a product I paid over $10 a bar for. They smelled nice, but again, nothing that would suggest its worth the money. Very disappointed in this. I am still shaking my head at this.",low_star_high_vader
Beauty,2019,2.0,0.8102,105,"Caused Allergic Reaction. Although this soap lathers and cleans as well as any other natural soap, in my case, it caused an allergic reaction. Within a couple of weeks, I was itching intensely everywhere, and it took me a while to connect the two, but as soon as I did, I stopped using the soap and my itching quickly subsided and then disappeared. There was no visible rash, but it clearly didn't agree with me on some level. That said, if you have sensitive skin, I'd steer clear. Otherwise, it has a cinnamon like aroma that I didn't find unpleasant, yet which doesn't linger long.",low_star_high_vader
Beauty,2020,2.0,0.8683,89,"More like a sunscreen with moisture, than a moisturizer with sunscreen. Bought this ro replace my beloved Dove saily moisturizer with SPF since the sunscreen ingredients were identical. Definitely not a good replacement. I have very dry, sensitive skin, and have trouble finding sunscreens that don't make me break out or sting my eyes. This made me shiny and felt greasy-- more like a sunscreen than a daily moisturizer. Felt like it just sat on top of my skin rather than sinking in to really moisturize. Won't be rebuying.",low_star_high_vader
Beauty,2023,2.0,0.8519,30,O K. I was hoping it would be brighter. It does it's job with the magnification and Since I have bright lights in my bathroom I decided to keep it.,low_star_high_vader
Beauty,2022,2.0,0.9378,59,"Smells GREAT, but…... Very fruity, yummy smell. But so jelly-sticky. Very hard to clean up (oily post wax cloths only, other brands do not work, I tried from a different kit I had left overs). Doesn't always get a good “rip” when taking off the strip due to extra gooey-stickiness. There are better wax strips out there than these.",low_star_high_vader
Beauty,2017,1.0,0.7335,180,"""New Look"" Bars have different formula than Original.. Loyal Lever customers, you have been deceived. The ""new look"" bars are not the same Lever that you know and are used to. Leaves my skin feeling sticky. Scent is the same. Packaging and bar shape/size have changed. I figured it up and I have used Original Lever 2000 for ~5000 showers. I noticed the change immediately. If you can find bars still packaged 8 to a pack, in the cardboard box, grab it up! You will not like the new version as well as the old. Not sure why manufacturers do this to us? They threw away 25-30 more years of my being a customer by making the change. The search for a replacement continues. Rather just have the old stuff back. Big League FAIL Lever! I'm back just to let everyone know that the 'new look' soap is made in Mexico. The original Lever 2000 bars were Made In USA. My best guess is they cannibalized their manufacturing facility to produce the more expensive Dove Men's series of soap bars.",low_star_high_vader
Beauty,2017,2.0,0.5187,55,"Sour smell. This is the second Clarisonic I've owned. I live in a dry climate, wash and rinse the head brush and leave it out to dry. There is a musty, moldy smell that I can't get rid of. I love the feel and the clean but can't use it after less than 2 months.",low_star_high_vader
Beauty,2021,1.0,0.5977,98,"Sheer bare is grey, cracks after a day. The only con is that I thought ""sheer bare"" was a shade of white and it's actually grey. Looking at other people's reviews they refer to the color as ""smoke"" which is more accurate. Not sure what the deal is with that. But if you're looking to get a shade of white in your kit 091 is not it. Overall though these are good dip powders just be weary of the shades in the sellers photos because they may not be accurate. UPDATE giving one star. Cracks after one day.",low_star_high_vader
Beauty,2019,2.0,0.9786,136,"Itching, Burning, and Hives Sensitive Skin. After using this product 3 times my face broke out in hives. It was itching and burning so I washed it off after 15 mins every time. I was really trying to love it bc of the great reviews but apparently my skin is super sensitive to almost everything i put on my face. I didnt use very much of the product either. Put a small amount on a cosmetic round. I'm also not using any other face products. I cant use multiple skin care products at the same time. I have mostly dry skin and comedones and a bit of cystic acne on the chin. I didnt see any reviews about itching or burning so I figured I'd leave one. Hopefully this helps someone else with super sensitive skin.",low_star_high_vader
Beauty,2022,2.0,0.8791,51,"Certain body parts - you aren't supposed to use it on - were the parts I wanted to use it on.. I'm not experienced with this stuff, but the direction explicitly say - don't use it on certain nether region body parts - which is - why I bought it. Great!",low_star_high_vader
Beauty,2018,2.0,0.7391,18,"Smells great, but busted package.. Love the smell but unfortunately the lotion came busted in the plastic wrap.",low_star_high_vader
Beauty,2018,2.0,0.7107,82,"Lather does not last. Smells decent and appears to lather decently, but it just doesn't last. I shave with a badger brush. I have tried both bowl and face lathering. I am a head and face shaver, and even doing them separately, the lather almost completely disappears before I can (quickly!) finish my head shave. I've given this soap a full week of shaving, trying varying amounts of water and technique, with little success. Definitely not for me, especially at this price...",low_star_high_vader
Beauty,2019,1.0,0.9655,101,"Not worth your money.. These were horrible. Beyond horrible. I really wanted to like these, as the packaging was super cute and it came with a good lash applicator. A review said their was a gift, which is false unless she was talking about the lash applicator. I used duo lash glue and its the best glue I've ever had, gluing all lashes I have purchased perfectly. These would not glue. I want a refund. Please , please DO NOT purchase these, and instead purchase Eyelure lashes or etc. They are cheaper and work much better than these. DO NOT recommend.",low_star_high_vader
Beauty,2020,1.0,0.8126,44,Dermorganic volume foam. I have used this product for years and always loved it. This is my second can that is so watered down I can't even use it. It's like pouring water in my hair! Very disappointed in what was a great product.,low_star_high_vader
Beauty,2019,2.0,0.7816,346,"From Miracle to Meh. I bought a competitor's brand of Olive-based Squalane Oil for my anti-aging skincare routine but after six months with a 3/4 full 2-ounce bottle on hand, I gave it to my spouse because I wasn't going through it fast enough. (It didn't have any fragrance added to mask the normal odor, which is chemical-like vs. an olive oil smell one might expect of an Olive-based product so that was the other reason I initially disliked it.) I didn't have any expectation for how Squalane Oil might work for my spouse so I was shocked when it performed a miracle by healing my spouse's chronic ""sandpaper fingers"", which too often results in painful cracked fingers during the winter months. Prior to using Squalane, my spouse had spent the better part of a decade trying everything designed for cracked skin — including pharmacist recommendations like U-Lactin lotion, Bag Balm and even Noxzema. Only Squalane oil (White Egret brand) pushed my spouse over the finish line — meaning a record number of months without cracked skin. (Prior to this, the next best product my spouse had tried for this purpose was Jergen's All-Purpose Face Cream.) Sadly, the last time I went to shop for Squalane Oil, the price had doubled so I bought 100 percent pure vegetable-based Squalane Oil from Swanson instead. Although both products are said to be Olive-derived, I quickly learned that not all products are created equally even when the labels have identical ingredients. My spouse's cracked fingers have returned despite use of the Swanson product. I don't know what was different about the ""White Egret"" brand of Squalane vs. this Swanson product, but I can't recommend Swanson after the dramatic change of (unsatisfactory) results for having switched. This is a tough review for me to write because I have been placing orders with Swanson (usually directly) for years for a variety of supplements and health products — so I tend to have nothing but praise for their products/prices. In this case, however, Swanson Vegetarian Squalane Oil isn't delivering the same results.",low_star_high_vader
Beauty,2020,2.0,0.5499,58,Not for those with fine hair. The ponytail is heavy and kept slipping. It weighed down my original ponytail. My actual hair is just above my shoulders but my hair is fine and I tried using lots of bobby-pins but then it started looking a bit messy. Best worn as a low ponytail for ladies with fine hair.,low_star_high_vader
Beauty,2021,1.0,0.6234,37,"Nope. Allergic reaction.. Nope. Lit my husband up like a Christmas tree within 24 hours of use. See pictures. Tom's works better and does not result in an allergic reaction, redness, sloughing of the skin, bleeding, etc.",low_star_high_vader
Beauty,2015,2.0,0.9937,416,"I was super excited about this purchase because it is going to .... I was super excited about this purchase because it is going to be my first Air Cushion foundation, however, I am sadly disappointed. :/ 1. Color. It was not only mismatched to my skin tone, but also just weird. My husband's first word regarding to ""how do I look"" was ""your face looks gray."" I am mildly tanned Korean woman, and this natural beige did not work on my skin at all. Yes, it just looks gray and lifeless... color does seem to float around on top of my skin. 2. Makes me look older. I in general have very good complexion, especially for my age. I don't show any wrinkles or dark circle or big pores on my skin (I am 39), but when I applied this foundation, yes i started to see all of those! I looked like a very old lady who wore layers of makeup. Poeres looked gigantic all over my chicks- looked disgusting! 3. Feels heavy - too thick. Maybe, I am not used to wear this type of makeup since my daily makeup is ... no makeup. I try to keep complexion in optimal condition and avoid wearing any foundation after applying basic skin care products and sunscreen. Still I expected I would feel light and look natural because that is what this product advertises, but I did look I am wearing thick layers of makeup. Nothing light and natural. 4. I feel tingling sensation. Again, my skin is usually very healthy and I do not have any reaction to any skin care products and makeups, but this foundation gives me tingling itch sensation, stronger if I reapply after a few hours. 5. This applying cushion sucks. I wonder if this cushion is authentic. I imagined a lot better quality application cushion, but it seems like a cheap replaceable cushion. I think this cushion gives me the tingling irritation. I don't know. I've never seen the original (if there is any) one. 6. Feels cool and moisturized. Ok, this is a positive side. Despite all these, I do feel my face stays cooler and moisturized. Yes, it does provide a little bit of dewy moist look. So, I give this product generous 2 stars. I will of course not buy this product again. I dont know what to do with my current one. I want to keep searching for the right air cushion though - any recommendations?",low_star_high_vader
Beauty,2022,2.0,0.636,34,Not a long lasting nail polish!. Product is a beautiful shiny color. It isn't long lasting….nails Chip after three days. I get more mileage out of the cheaper OPI which is about $3 less.,low_star_high_vader
Beauty,2020,2.0,0.9449,98,"Blows out great, however broke very very quickly.. The brush is really great. Easy to use, styles easily and smooth. Also dries hair quickly. The reason why I only gave it 2 starts however is because after using it roughly 6 times the barrel fell right off the handle. I pushed the barrel back on to the handle held up for the rest of the blow out and then fell off again. With that and being unable to fix it I threw it out. Great brissles and comfortable handle just has zero structural intergity. Which,, is quite disappointing.",low_star_high_vader
Beauty,2020,2.0,0.913,53,Not worth the money. Mitt does not stay on my hand. I have to cup my hand so it doesn't fall off. Unfortunately the second time I used it the seam started to come apart so now I have a hole in it. Honestly the $1 shower puffs do a much better job.,low_star_high_vader
Beauty,2021,1.0,0.5065,48,👎 Synthetic hair Description is a lie. This hair looks like Barbie hair it is synthetic not human at all do not purchase this hair Not even for a costume party!!!!!! It tangled up so fast Directly out of the pad This is a total waste of money..,low_star_high_vader
Beauty,2016,1.0,0.7003,33,... of them because they are to small and break easy. I didn't realize they were assorted sizes and I can't use half of them because they are to small and break easy,low_star_high_vader
Beauty,2022,1.0,0.7964,32,"Only worked for 2 weeks. It worked great and I loved it when I first received it. It has been 2 weeks and this morning it burned my hair, then stopped working.",low_star_high_vader
Beauty,2018,2.0,0.8654,29,"Cute but don't expect a lot.. Cute colors, I really like the shine and variety of colors but the containers aren't even filled half way full with the powder.",low_star_high_vader
Beauty,2018,2.0,0.6903,34,Meh. It tastes and smells nice but I don't think I've noticed any difference at all in the softness of my lips. And it doesn't really appear to help as an exfoliate at all.,low_star_high_vader
Beauty,2023,1.0,0.7906,39,"BIG WIG. So first off , THIS IS EXACTLY HOW THE WIG CAME (notice tag still on it) It's definitely FULL but it was giving Wanda from Holiday Heart…. I'm disappointed. It came FAST, but DEFINITELY NOT worth $72",low_star_high_vader
Beauty,2016,1.0,0.5374,19,One Star. please do not buy these!!!! there so cheaply made and half of the brush heads fell off,low_star_high_vader
Beauty,2022,1.0,0.8544,23,Burning don't buy !!. Put product in hair and immediately my hair started burning !!! Do NOT buy !!! Scent is super strong,low_star_high_vader
Beauty,2017,2.0,0.9603,115,"Don't waste your $$$, find in stores. I love this color and the Burt's Bees Glossy lip shine is hard for me to find in stores right now so I thought this would be a great deal. Unfortunately I have no idea how they stored this product or how old it is, but it will not come out of the tube, I applied super human strength and the base of the tube exploded all over me. The second tube I tried to be more gentle but no matter how I increase the pressure I only get a dot of product (not enough for my lips) for way too much effort ( my hands are shaking).",low_star_high_vader
Beauty,2023,2.0,0.7761,43,"Not the best. It doesn't smell bad, but is a “dated scent”. Has an aftershave/Musk smell to it. I would compare it to older scents like Brut or Drakaar. Again it doesn't smell bad. But would be an expected scent on someone older.",low_star_high_vader
